date,GDP,GDPM,EMP_CONS_CAN,TOT_HRS_CAN,NDM_new,IP_new,MANU_TOT_INV_new,RT_new,IMP_TRANSP_BP_new,EMP_SALES_CAN
1992-04-01,0.001220404,0.001991488,-0.009304132,-0.004847205,0.00825661,0.007856844,-0.014497442,0.021650288,0.05311976,6.53E-05
1992-07-01,0.005355486,0.003863301,0.003937936,-0.00182121,-0.003633187,-0.002144128,-0.001477393,0.009561754,0.044055387,-0.002123282
1992-10-01,0.005672984,0.004617389,0.001542813,0.001701281,0.018990466,0.021733785,0.004766354,-7.99E-11,0.043937569,-0.004654296
1993-01-01,0.006379073,0.008588601,0.000980552,0.006488156,0.002693554,0.017484331,-0.010406593,-0.004593513,0.051669638,-0.005006186
1993-04-01,0.009063138,0.006296535,-0.026962186,0.002286571,0.009987014,0.006641625,0.002276964,2.22E-16,0.012758711,-1.65E-05
1993-07-01,0.009485343,0.005974188,-0.015218053,0.000536063,0.006384879,0.00942376,0.021716809,0.02028996,0.030504415,0.007663881
1993-10-01,0.004307545,0.007874721,-0.012441992,0.00763378,0.008618079,0.011069213,0.010480605,0.023202852,0.098987086,0.003058982
1994-01-01,0.014628172,0.01341023,0.015407118,0.002273053,0.012060163,0.010354863,0.040040972,0.023109383,0.026866915,0.005261755
1994-04-01,0.014507541,0.01522015,0.049476375,0.01144641,0.019289366,0.027526524,0.015034697,0.023102156,0.115726085,0.009137949
1994-07-01,0.012703055,0.01206947,0.025719612,0.012910918,0.015887521,0.019866214,0.023887621,0.012874774,-0.021212071,-0.003435127
1994-10-01,0.007269983,0.010398216,0.013104823,0.010924535,0.007754799,0.018965241,0.025477826,0.017715016,0.106828781,-0.001034461
1995-01-01,0.009251943,0.005884763,-0.012069883,-0.003816357,0.019083758,0.022780363,0.036160498,-0.002650734,0.029330244,0.002035575
1995-04-01,0.000403694,0.00118221,-0.024309282,-0.000599923,-0.018078291,-0.008161916,0.045433168,-0.006068638,-0.120338593,-0.000920342
1995-07-01,0.001316981,0.00296531,-0.005545044,0.003150932,-0.005181015,-0.004305678,0.028394456,-0.004532866,0.008173801,0.009213543
1995-10-01,0.004089755,0.00022676,0.004945814,0.000448705,-0.004187718,-0.001758216,0.012607905,-0.002378273,0.022727523,0.009177007
1996-01-01,0.000687819,0.002574936,-0.011500776,0.004043046,0.00101924,0.005139019,0.003248661,0.030028162,-0.024981858,-0.001206043
