date,GDP,IP,EMP
1991-03-01,-0.00079698,0.000833718,-0.002798753
1991-04-01,0.007308892,0.004520173,0.003234622
1991-05-01,0.00415924,0.009437404,0.002269672
1991-06-01,-0.000309794,0.003793024,0.000496775
1991-07-01,-0.000805915,0.003483053,-0.001087016
1991-08-01,0.000514489,0.001553857,0.00030293
1991-09-01,-0.001029242,0.00198804,-0.00161669
1991-10-01,0.003514845,-0.003914306,0.00043552
1991-11-01,-0.000138146,-0.005118219,-0.002943446
1991-12-01,-0.003875867,-0.011523563,-0.001014302
1992-01-01,0.004287618,0.010482439,-0.001562476
1992-02-01,-0.002810644,0.002158163,-0.001478787
1992-03-01,0.000961038,-0.001860589,-0.002069274
1992-04-01,0.002071855,0.008968227,-0.001099082
1992-05-01,6.84E-05,-0.000147448,0.000447629
1992-06-01,0.000512659,-0.001475676,-0.001516467
1992-07-01,0.00145242,-0.00920916,0.001194509
1992-08-01,0.002914228,0.010684836,-0.003051972
1992-09-01,0.000307438,0.002874043,0.00050406
1992-10-01,0.003599792,0.012210785,0.001015225
1992-11-01,-0.000661014,0.005365251,-0.000645217
1992-12-01,0.000848678,0.001443696,0.001345043
1993-01-01,0.003029024,-0.000721588,0.002598434
1993-02-01,0.005813691,0.018961428,0.000642679
1993-03-01,0.003990905,0.008260645,0.00137019
1993-04-01,0.001121184,-0.005143787,-0.002499071
1993-05-01,0.000250552,-0.001203684,0.00055676
1993-06-01,0.001253101,0.002473831,0.001887539
1993-07-01,0.000966998,-0.006372185,0.000750892
1993-08-01,0.003745014,0.014943874,0.001445443
1993-09-01,0.004757279,0.01355449,0.002526455
1993-10-01,0.001008679,-0.001656789,-0.001184456
1993-11-01,0.003576792,0.003448552,0.003782223
1993-12-01,0.000198617,-0.010598007,-0.001982716
1994-01-01,0.006461954,0.010047037,0.000622452
1994-02-01,0.004633141,0.001860855,0.002571285
1994-03-01,0.007571059,0.014893957,0.003028885
1994-04-01,0.002081169,0.006686914,0.000935472
1994-05-01,0.006634967,0.008383993,0.005525366
1994-06-01,0.006367456,0.014057846,0.002233832
1994-07-01,-0.000795248,-0.001053366,0.004361139
1994-08-01,0.008039515,0.007945942,0.001274143
1994-09-01,0.003154225,0.010411093,0.004693434
